_id,PK,CCR,AGE,GENDER,RACE,ARRESTTIME,ARRESTLOCATION,OFFENSES,INCIDENTLOCATION,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
3312,1978754,16222064,23,M,W,2016-11-27T02:02:00,"1600 Block E Carson ST Pittsburgh, PA 15203",2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 5121 Escape. / 5505 Public Drunkenness / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING / 3503(b)(1)(i) Actual Communication,"1500 Block E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,4,-79.9833067062384,40.4286848326994
3313,1978755,16222069,26,M,W,2016-11-27T02:10:00,"5400 Block Walnut ST Pittsburgh, PA 15232",5104 Resisting Arrest or Other Law Enforcement. / 5505 Public Drunkenness / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,"5400 Block Walnut ST Pittsburgh, PA 15232",Bluff,4,103,8,2,-79.9354621673878,40.4505884906295
3314,1978756,16222078,20,M,W,2016-12-07T13:40:00,"600 Block First AV Pittsburgh, PA 15219",5121 Escape. / 3323 Stop Signs and Yield Signs. / 3361  Driving Vehicle at Safe Speed. / 3714 Careless Driving / 3809(a) Restriction on Alcoholic Beverages in Vehicle,"300 Block Ivondale ST Pittsburgh, PA 15207",Greenfield,4,1516,5,3,-79.9479345365335,40.4264756043472
1113,1975877,16165710,20,M,W,2016-09-02T21:12:00,"10 Block Alpine AV Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"20 Block Alpine AV Pittsburgh, PA 15212",Central Northside,1,2503,6,1,-80.0086183852503,40.4587084503167
1114,1975878,16144123,22,M,B,2016-09-28T10:10:00,"900 Block Second AV Pittsburgh, PA 15219",903 Criminal Conspiracy. / 2705 Recklessy Endangering Another Person. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,"Monongahela ST Pittsburgh, PA 15207",Hazelwood,4,1515,,,0.0,0.0
1116,1975880,16167716,31,M,B,2016-09-06T02:14:00,"Norwood AV & Mayfield AV Pittsburgh, PA 15214",13(a)(31) Marijuana: Possession Small Amount,"Norwood AV & Mayfield AV Pittsburgh, PA 15214",Perry South,1,2615,6,1,-80.0134923609688,40.4734047830535
1118,1975883,16173937,32,M,B,2016-09-14T14:30:00,"1400 Block Rockland AV Pittsburgh, PA 15216","903 Criminal Conspiracy. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount","1400 Block Rockland AV Pittsburgh, PA 15216",Beechview,6,1916,4,5,-80.0204519474066,40.412953337365
5505,1981478,17026104,18,M,B,2017-02-11T20:50:00,"2000 Block Fifth AV Pittsburgh, PA 15219",5104 Resisting Arrest or Other Law Enforcement. / 1301 Registration and Certificate of Title Required. / 1786 Required Financial Responsibility. / 3111 Obedience to Traffic-Control Devices. / 13(a)(32) Paraphernalia - Use or Possession,"2000 Block Fifth AV Pittsburgh, PA 15219",West Oakland,4,402,6,3,-79.9775295995642,40.438002713939
16,1975102,16156591,18,M,B,2016-08-21T03:50:00,"2400 Block Toner ST Pittsburgh, PA 15212",903 Criminal Conspiracy. / 3701 Robbery.,"Arch ST & W North AV Pittsburgh, PA 15212",Allegheny Center,1,2204,1,1,-80.0086279654802,40.4550908281288
1121,1975886,16173999,27,M,W,2016-09-14T16:25:00,"2500 Block West Liberty AV Pittsburgh, PA 15226",13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"2500 Block West Liberty AV Pittsburgh, PA 15226",Beechview,6,1920,4,5,-80.0254934352975,40.3991846491471
1518,1976390,16172339,14,F,B,2016-10-03T13:22:00,"600 Block 1ST AV PITTSBURGH, PA 15219",912 Possession of Weapon on School Property.,"3800 Block PERRYSVILLE AV PITTSBURGH, PA 15214",Perry North,1,2602,1,1,-80.0160208901073,40.4875513198459
3315,1978757,16222116,24,M,W,2016-11-27T07:23:00,"Beaver AV & Pennsylvania AV Pittsburgh, PA 15233",3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%,"Beaver AV & Pennsylvania AV Pittsburgh, PA 15233",Chateau,1,2108,6,1,-80.0290105121044,40.4532820816218
3066,1978429,16192546,15,M,B,2016-12-01T17:30:00,"1000 Block Hill AV Wikinsburg, PA 15221",903 Criminal Conspiracy. / 3701 Robbery.,"7900 Block Susquehanna ST Pittsburgh, PA 15221",Homewood South,5,1304,9,2,-79.8872431088834,40.4491684061384
3067,1978430,16193416,27,M,W,2016-11-21T21:27:00,"Lancaster ST & Sanders ST Pittsburgh, PA 15218",9125 Possible  Stolen Car Recovered,"Bates ST & I-376 RAMP Pittsburgh, PA 15213",South Oakland,4,409,3,3,-79.9588539978611,40.431634058386
5506,1981479,17026116,21,F,B,2017-02-11T20:00:00,"Watson ST & Pride ST Pittsburgh, PA 15219",2701 Simple Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 5503 Disorderly Conduct. / 5505 Public Drunkenness,"Watson ST & Pride ST Pittsburgh, PA 15219",Bluff,2,103,6,3,-79.9850849208444,40.4381142507331
6031,1982120,17022754,12,F,B,2017-02-21T12:20:00,Zone 2,2702 Aggravated Assault. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,Zone 1,,1,,,,,
5508,1981481,17026286,21,F,W,2017-02-15T13:45:00,"600 Block 1st AV Pittsburgh, PA 15219",2701 Simple Assault. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,"1500 Block E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,4,-79.9833067062384,40.4286848326994
5509,1981482,17026286,21,F,W,2017-02-15T13:45:00,"600 Block 1st AV Pittsburgh, PA 15219",2701 Simple Assault. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,"1500 Block E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,4,-79.9833067062384,40.4286848326994
5510,1981483,17023062,40,M,W,2017-02-06T21:00:00,"Penn AV & Bakery Square BL Pittsburgh, PA 15206",1301 Registration and Certificate of Title Required. / 13(a)(32) Paraphernalia - Use or Possession,"Penn AV & Bakery Square BL Pittsburgh, PA 15206",East Liberty,4,1115,8,2,-79.9154181229637,40.4561008793443
6603,1982818,17048105,59,F,W,2017-03-17T12:39:00,"1500 Block Wareman AV Pittsburgh, PA 15226",13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance,"1500 Block Wareman AV Pittsburgh, PA 15226",Brookline,6,1918,4,4,-80.0113046808837,40.3892608926883
3318,1978760,16222952,55,M,B,2016-11-28T18:33:00,"Liberty AV & Market ST Pittsburgh, PA 15222",5121 Escape. / 5505 Public Drunkenness / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,"Liberty AV & Market ST Pittsburgh, PA 15222",Central Business District,2,201,6,6,-80.0017943960784,40.4419237797842
1522,1976394,16182934,23,F,W,2016-09-27T17:30:00,"1700 Block Leolyn ST Pittsburgh, PA 15210",13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"1700 Block Leolyn ST Pittsburgh, PA 15210",Carrick,3,2902,4,4,-79.9860861403745,40.3989717806795
3322,1978764,16223110,56,M,B,2016-11-29T01:04:00,"200 Block Atwood ST Pittsburgh, PA 15213","5505 Public Drunkenness / 3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","200 Block Atwood ST Pittsburgh, PA 15213",Central Oakland,4,405,3,3,-79.9568888662713,40.4404204065315
4051,1979738,16239447,24,F,B,2016-12-26T05:22:00,"5th AV & Darragh ST Pittsburgh, PA 15213",3925 Receiving Stolen Property. / 13(a)(31) Marijuana: Possession Small Amount,"5th AV & Darragh ST Pittsburgh, PA 15213",West Oakland,4,402,3,3,-79.9601650449737,40.4405465632227
1125,1975890,16174047,22,M,B,2016-09-14T17:23:00,"Forbes AV & Ophelia ST Pittsburgh, PA 15213","2705 Recklessy Endangering Another Person. / 4910 Tampering with or Fabricating Physical Evidence. / 5126 Flight to Avoid Apprehension, Trial or Punishment. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 9501 Bench Warrant / 6105(c)(9) Persons Not To Possess Use Manuf, Control Firearm","100 Block Robinson ST Pittsburgh, PA 15213",West Oakland,4,402,6,3,-79.9655052487123,40.4387467209633
5512,1981485,17026135,34,M,W,2017-02-11T21:30:00,"1400 Block Hampshire AV Pittsburgh, PA 15216",5506 Loitering and Prowling at Night,"1400 Block Hampshire AV Pittsburgh, PA 15216",Beechview,6,1916,4,5,-80.0284702695369,40.4105608169255
3323,1978775,16223621,52,M,B,2016-11-29T18:27:00,"Climax ST & Curtin AV Pittsburgh, PA 15210",13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"Climax ST & Curtin AV Pittsburgh, PA 15210",Beltzhoover,3,1809,3,4,-79.9988716115791,40.4199847415472
5513,1981486,17026189,35,M,B,2017-02-16T09:10:00,"600 Block 1st AV Pittsburgh, PA 15219",2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,"1200 Block Lakewood ST Pittsburgh, PA 15220",Elliott,6,2020,2,5,-80.0411471357198,40.4479556602264
3324,1978776,16223621,45,M,B,2016-11-29T18:30:00,"Climax ST & Curtin AV Pittsburgh, PA 15210",1543 Driving While Operating Privilege is Suspended or Revoked. / 1958 Certificate of Inspection. / 4303 General Lighting Requirements. / 13(a)(32) Paraphernalia - Use or Possession,"Climax ST & Curtin AV Pittsburgh, PA 15210",Beltzhoover,3,1809,3,4,-79.9988716115791,40.4199847415472
3821,1979424,16235995,58,M,B,2016-12-21T01:53:00,"1600 Block Sandusky CT Pittsburgh, PA 15212",3925 Receiving Stolen Property. / 1372 Unauthorized Transfer or Use of Registration.,"200 Block W Warrington AV Pittsburgh, PA 15226",Mount Washington,3,1915,3,4,-80.0047015189084,40.4207477358262
4054,1979741,16240319,20,F,B,2016-12-29T15:23:00,"600 Block 1st AV Pittsburgh, PA 15219",2701 Simple Assault.,"200 Block Suncrest ST Pittsburgh, PA 15210",Knoxville,3,3001,3,4,-79.9903760924572,40.4103567426336
5006,1980853,17016409,16,M,B,2017-01-27T09:37:00,"2000 Block Broadway AV Pittsburgh, PA 15216","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","2000 Block Broadway AV Pittsburgh, PA 15216",Beechview,6,1920,2,5,-80.0288677408525,40.4064060821756
5514,1981487,17026222,22,M,W,2017-02-11T23:22:00,"300 Block North Shore DR Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"300 Block North Shore DR Pittsburgh, PA 15212",North Shore,1,2205,1,1,-80.0096402728326,40.4549486918507
5515,1981488,17023070,25,M,W,2017-02-06T20:46:00,"Bellaire AV & Whited ST Pittsburgh, PA 15226",9501 Bench Warrant,"Bellaire AV & Whited ST Pittsburgh, PA 15226",Brookline,6,3206,4,4,-80.013196222131,40.3930236383856
3325,1978777,16223657,22,M,B,2016-11-29T19:28:00,"6800 Block Thomas BL Pittsburgh, PA 15208","2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 2901 Kidnapping. / 2902 Unlawful Restraint. / 3701 Robbery. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License. / 13(a)(31) Marijuana: Possession Small Amount / 2701(a)(3) Simple Assault - Attempts by Physical Menace ","6800 Block Thomas BL Pittsburgh, PA 15208",Point Breeze North,4,1405,9,2,-79.9090200306119,40.4537237839608
1126,1975891,16172422,29,F,B,2016-09-12T10:41:00,"400 Block Orwell WY Pittsburgh, PA 15224",2701 Simple Assault.,"400 Block Orwell WY Pittsburgh, PA 15224",Bloomfield,5,802,7,2,-79.9522482755584,40.4616485258296
1132,1975897,16168333,27,F,W,2016-09-06T23:50:00,"100 Block Charles ST Pittsburgh, PA 15210",2701 Simple Assault. / 4304(a)(1) Endangering Welfare of Children.,Charles ST,Knoxville,3,3001,,,0.0,0.0
1143,1975916,16170739,26,M,W,2016-09-10T02:20:00,"S 18th ST & E Carson ST Pittsburgh, PA 15203",5104 Resisting Arrest or Other Law Enforcement. / 5503 Disorderly Conduct.,"S 18th ST & E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,4,-79.9805619635861,40.4287585875314
5517,1981490,17025794,27,F,B,2017-02-11T10:00:00,"Brainard ST & Paulson AV Pittsburgh, PA 15206",9501 Bench Warrant / 4914(A) False Identification to Law Enforcement,"700 Block Parker AV Braddock, PA 15104",Outside City,OSC,5599,,,-79.8666032556556,40.4028596870676
38,1975461,16013937,29,M,B,2016-09-21T15:40:00,"900 Block SECOND AV Pittsburgh, PA 15219",3925 Receiving Stolen Property. / 3929 Retail Theft. / 4106 Access Device Fraud,"800 Block Freeport RD Pittsburgh, PA 15215",Lincoln-Lemington-Belmar,5,1201,9,2,-79.8976142089354,40.4878235400117
1144,1975917,16170744,23,F,B,2016-09-10T02:17:00,"1700 Block E Carson ST Pittsburgh, PA 15203",2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 5502 Failure of Disorderly Persons to Disperse  / 5503 Disorderly Conduct.,"1700 Block E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,4,-79.9818690076802,40.4285852039836
3328,1978780,16222764,21,M,B,2016-11-28T12:03:00,"Rhine ST & Rhine PL Pittsburgh, PA 15212","4910 Tampering with or Fabricating Physical Evidence. / 5121 Escape. / 5126 Flight to Avoid Apprehension, Trial or Punishment. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License.","Rhine ST & Rhine PL Pittsburgh, PA 15212",Spring Hill-City View,1,2620,1,1,-79.9941687055923,40.4668165871838
5516,1981489,17024840,49,M,B,2017-02-09T18:35:00,"Bedford AV & Somers DR Pittsburgh, PA 15219",13(a)(31) Marijuana: Possession Small Amount,"Bedford AV & Somers DR Pittsburgh, PA 15219",Middle Hill,2,501,6,3,-79.975549692149,40.4494094408737
5519,1981492,17025808,49,M,W,2017-02-11T12:21:00,"Maytide ST & Saw Mill Run BL Pittsburgh, PA 15210",13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 3736 Reckless Driving,"Maytide ST & Saw Mill Run BL Pittsburgh, PA 15210",Carrick,3,2904,4,4,-79.995052627109,40.384702801984
1145,1975918,16170746,23,F,B,2016-09-10T02:12:00,"E Carson ST & S 18th ST Pittsburgh, PA 15203","5101 Obstructing Admin. of Law  / 5104 Resisting Arrest or Other Law Enforcement. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING / 5507(a) Obstructing highway, railroad or public passage","E Carson ST & S 18th ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,4,-79.9805619635861,40.4287585875314
1147,1975920,16170870,23,M,W,2016-09-10T09:07:00,"1200 Block Clairhaven ST Pittsburgh, PA 15205",13(a)(32) Paraphernalia - Use or Possession,"1200 Block Clairhaven ST Pittsburgh, PA 15205",Crafton Heights,6,2815,2,5,-80.0524492240764,40.4397546756736
1148,1975921,16173373,55,M,W,2016-09-13T17:45:00,"1800 Block Ley ST Pittsburgh, PA 15212",2706 Terroristic Threats. / 4905 False Alarms to Agencies of Public Safety. / 5104 Resisting Arrest or Other Law Enforcement.,"1800 Block Ley ST Pittsburgh, PA 15212",Troy Hill-Herrs Island,1,2406,1,1,-79.9822549220884,40.4645617265314
3021,1978372,16153880,53,M,B,2016-11-28T16:10:00,"600 Block 1ST AV Pittsburgh, PA 15219",3304 Criminal Mischief.,"300 Block Blvd Of The Allies Pittsburgh, PA 15222",Central Business District,2,201,6,6,-80.0018533423449,40.4380911554516
5520,1981493,17023120,45,M,O,2017-02-12T16:04:00,"600 Block 1st AV Pittsburgh, PA 15219",3802(a)(1) DUI - General Impairment,"100 Block Owendale AV Pittsburgh, PA 15227",Carrick,3,2904,4,4,-79.979087933586,40.381775663196
6640,1982883,17049670,37,M,B,2017-03-20T00:48:00,"Ellsworth AV & Maryland AV Pittsburgh, PA 15232",3502 Burglary. / 5506 Loitering and Prowling at Night / 13(a)(32) Paraphernalia - Use or Possession,"5700 Block Pierce ST Pittsburgh, PA 15232",Shadyside,4,705,8,2,-79.9324169135793,40.4563745166516
1151,1975924,16173427,39,F,W,2016-09-13T19:10:00,"Felicia WY & Neuman WY Pittsburgh, PA 15221",13(a)(32) Paraphernalia - Use or Possession,"Felicia WY & Neuman WY Pittsburgh, PA 15221",Homewood South,5,1304,9,2,-79.8877114186893,40.4549383683674
4401,1980139,17004112,31,F,W,2017-01-07T19:30:00,"2600 Block Salisbury ST Pittsburgh, PA 15210",2701 Simple Assault.,"2600 Block Salisbury ST Pittsburgh, PA 15210",South Side Slopes,3,1608,3,4,-79.9710414748147,40.4183524014873
1153,1975926,16173155,51,F,B,2016-09-18T10:40:00,"600 Block 1st AV Pittsburgh, PA 15219","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","20 Block Sylvania AV Pittsburgh, PA 15210",Beltzhoover,3,1809,3,4,-80.0090468988504,40.4161439041695
3329,1978781,16222831,31,M,B,2016-12-05T14:15:00,"900 Block 2nd AV Pittsburgh, PA 15219","2705 Recklessy Endangering Another Person. / 2706 Terroristic Threats. / 3701 Robbery. / 3925 Receiving Stolen Property. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License.","500 Block Seventh ST New Kensington, PA 15068",Outside City,OSC,5599,,,-80.0951140075635,40.4058370330743
43,1975025,16155685,27,M,W,2016-08-19T20:22:00,Zone 3,3126(a)(1) Indecent assault without consent / 2709.1 Stalking Conduct or Repeatedly Acts Including Follows,Zone 3,,3,,,,,
4114,1979811,16235742,14,M,W,2016-12-27T10:33:00,"600 Block 1ST AV PITTSBURGH, PA 15219",912 Possession of Weapon on School Property.,"3500 Block FLEMING AV PITTSBURGH, PA 15212",Brighton Heights,1,2703,1,1,-80.0384745371641,40.4785875241993
3026,1978377,16174865,68,M,B,2016-11-23T10:30:00,"600 Block 1st AV Pittsburgh, PA 15219",9015 Failure To Appear/Arrest on Attachment Order,"300 Block Chalfont ST Pittsburgh, PA 15210",Beltzhoover,3,1809,3,4,-80.0022197032335,40.4164699780828
3332,1978784,16222912,35,M,W,2016-11-28T17:23:00,"2900 Block Sheraden BL Pittsburgh, PA 15204","13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant / 3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","2900 Block Sheraden BL Pittsburgh, PA 15204",Sheraden,6,2018,2,5,-80.0540578402899,40.4533676029965
4068,1979755,16238730,47,M,B,2016-12-24T11:30:00,"1400 Block Loraine ST Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"1400 Block Loraine ST Pittsburgh, PA 15212",Central North Side,1,2206,6,1,-80.0058271199704,40.4575589662632
1154,1975927,16174143,39,M,B,2016-09-14T20:31:00,"6600 Block Hedge ST Pittsburgh, PA 15206","3925 Receiving Stolen Property. / 4910 Tampering with or Fabricating Physical Evidence. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance","6600 Block Hedge ST Pittsburgh, PA 15206",Lincoln-Lemington-Belmar,5,1203,9,2,-79.9017203087791,40.4667844004852
5521,1981494,17023135,20,M,B,2017-02-07T00:54:00,"1400 Block Page ST Pittsburgh, PA 15233",2701 Simple Assault.,"Reedsdale ST & Allegheny AV Pittsburgh, PA 15233",Chateau,1,2108,1,6,-80.0178258286636,40.4480370603225
4422,1980160,17003542,27,M,B,2017-01-06T18:03:00,"Bedford AV & Memory LANE Pittsburgh, PA 15219",4303 General Lighting Requirements. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 7124 Fraudulent Use or Removal of Registration Plates / 3809(a) Restriction on Alcoholic Beverages in Vehicle,"Bedford AV & Memory LANE Pittsburgh, PA 15219",Middle Hill,2,501,6,3,-79.9783534466092,40.4482186284671
5523,1981496,17025851,60,M,B,2017-02-11T13:10:00,"Forest WY & Sterrett ST Pittsburgh, PA 15208",13(a)(32) Paraphernalia - Use or Possession,"Forest WY & Sterrett ST Pittsburgh, PA 15208",Homewood North,5,1302,9,2,-79.8939807141936,40.4573277936752
1156,1975929,16173574,24,M,B,2016-09-13T22:53:00,"Hamilton AV & Mulford ST Pittsburgh, PA 15221",1543 Driving While Operating Privilege is Suspended or Revoked. / 13(a)(31) Marijuana: Possession Small Amount,"Hamilton AV & Mulford ST Pittsburgh, PA 15221",Homewood South,5,1304,9,2,-79.8856045172133,40.4519136978904
